ts	base_num	base_chunk_id	query_kind	removed_words_lower_csv	removed_words_original_csv	removed_starts_csv	removed_ends_csv	insert_text	insert_after_word_num_requested	insert_after_word_num_actual	insert_word_count	insert_char_pos	insert_appended_to_end	eligible_words	requested_random_sets	max_unique_sets_possible	ann_has_base	ann_rank_base	local_has_base	local_rank_base	overlap@5	recall@5	ann_top_ids	local_top_ids
20260215_113302	1	Pride and Prejudice - pg1342_chunk399	ORIGINAL											10	10	120	True	1	True	1	5/5	1.0000	Pride and Prejudice - pg1342_chunk399|Pride and Prejudice - pg1342_chunk327|Pride and Prejudice - pg1342_chunk4721|Pride and Prejudice - pg1342_chunk4040|Pride and Prejudice - pg1342_chunk999	Pride and Prejudice - pg1342_chunk399|Pride and Prejudice - pg1342_chunk327|Pride and Prejudice - pg1342_chunk4721|Pride and Prejudice - pg1342_chunk4040|Pride and Prejudice - pg1342_chunk999
20260215_113302	1	Pride and Prejudice - pg1342_chunk399	REMOVED	woman,clever,valuable,bennet,eldest,sensible,intelligent	woman,clever,valuable,Bennet,eldest,sensible,intelligent	13,28,43,70,109,127,137	18,34,51,76,115,135,148							10	10	120	True	1	True	1	5/5	1.0000	Pride and Prejudice - pg1342_chunk399|Frankenstein  The Modern Prometheus - pg84_chunk287|Pride and Prejudice - pg1342_chunk4721|Frankenstein  The Modern Prometheus - pg84_chunk1420|Pride and Prejudice - pg1342_chunk1999	Pride and Prejudice - pg1342_chunk399|Frankenstein  The Modern Prometheus - pg84_chunk287|Pride and Prejudice - pg1342_chunk4721|Frankenstein  The Modern Prometheus - pg84_chunk1420|Pride and Prejudice - pg1342_chunk1999
20260215_113302	1	Pride and Prejudice - pg1342_chunk399	REMOVED	woman,clever,neighbour,bennet,children,sensible,intelligent	woman,clever,neighbour,Bennet,children,sensible,intelligent	13,28,52,70,95,127,137	18,34,61,76,103,135,148							10	10	120	True	1	True	1	5/5	1.0000	Pride and Prejudice - pg1342_chunk399|Pride and Prejudice - pg1342_chunk4721|Pride and Prejudice - pg1342_chunk1319|Frankenstein  The Modern Prometheus - pg84_chunk287|Pride and Prejudice - pg1342_chunk1999	Pride and Prejudice - pg1342_chunk399|Pride and Prejudice - pg1342_chunk4721|Pride and Prejudice - pg1342_chunk1319|Frankenstein  The Modern Prometheus - pg84_chunk287|Pride and Prejudice - pg1342_chunk1999
20260215_113302	1	Pride and Prejudice - pg1342_chunk399	REMOVED	woman,clever,valuable,neighbour,bennet,several,eldest	woman,clever,valuable,neighbour,Bennet,several,eldest	13,28,43,52,70,87,109	18,34,51,61,76,94,115							10	10	120	True	1	True	1	5/5	1.0000	Pride and Prejudice - pg1342_chunk399|Frankenstein  The Modern Prometheus - pg84_chunk1420|Pride and Prejudice - pg1342_chunk1999|Pride and Prejudice - pg1342_chunk4721|A Room with a View by E. M. Forster - pg2641_chunk579	Pride and Prejudice - pg1342_chunk399|Frankenstein  The Modern Prometheus - pg84_chunk1420|Pride and Prejudice - pg1342_chunk1999|Pride and Prejudice - pg1342_chunk4721|A Room with a View by E. M. Forster - pg2641_chunk579
20260215_113302	1	Pride and Prejudice - pg1342_chunk399	REMOVED	woman,clever,bennet,several,eldest,sensible,intelligent	woman,clever,Bennet,several,eldest,sensible,intelligent	13,28,70,87,109,127,137	18,34,76,94,115,135,148							10	10	120	True	1	True	1	5/5	1.0000	Pride and Prejudice - pg1342_chunk399|Pride and Prejudice - pg1342_chunk4721|Frankenstein  The Modern Prometheus - pg84_chunk287|A Room with a View by E. M. Forster - pg2641_chunk579|Frankenstein  The Modern Prometheus - pg84_chunk1420	Pride and Prejudice - pg1342_chunk399|Pride and Prejudice - pg1342_chunk4721|Frankenstein  The Modern Prometheus - pg84_chunk287|A Room with a View by E. M. Forster - pg2641_chunk579|Frankenstein  The Modern Prometheus - pg84_chunk1420
20260215_113302	1	Pride and Prejudice - pg1342_chunk399	REMOVED	woman,clever,valuable,neighbour,bennet,sensible,intelligent	woman,clever,valuable,neighbour,Bennet,sensible,intelligent	13,28,43,52,70,127,137	18,34,51,61,76,135,148							10	10	120	True	1	True	1	5/5	1.0000	Pride and Prejudice - pg1342_chunk399|Frankenstein  The Modern Prometheus - pg84_chunk287|Frankenstein  The Modern Prometheus - pg84_chunk1420|Pride and Prejudice - pg1342_chunk1999|Pride and Prejudice - pg1342_chunk4721	Pride and Prejudice - pg1342_chunk399|Frankenstein  The Modern Prometheus - pg84_chunk287|Frankenstein  The Modern Prometheus - pg84_chunk1420|Pride and Prejudice - pg1342_chunk1999|Pride and Prejudice - pg1342_chunk4721
20260215_113302	1	Pride and Prejudice - pg1342_chunk399	REMOVED	woman,clever,neighbour,bennet,several,children,eldest	woman,clever,neighbour,Bennet,several,children,eldest	13,28,52,70,87,95,109	18,34,61,76,94,103,115							10	10	120	True	1	True	1	5/5	1.0000	Pride and Prejudice - pg1342_chunk399|Pride and Prejudice - pg1342_chunk4721|A Room with a View by E. M. Forster - pg2641_chunk579|Pride and Prejudice - pg1342_chunk1999|Pride and Prejudice - pg1342_chunk4040	Pride and Prejudice - pg1342_chunk399|Pride and Prejudice - pg1342_chunk4721|A Room with a View by E. M. Forster - pg2641_chunk579|Pride and Prejudice - pg1342_chunk1999|Pride and Prejudice - pg1342_chunk4040
20260215_113302	1	Pride and Prejudice - pg1342_chunk399	REMOVED	woman,clever,valuable,neighbour,bennet,children,intelligent	woman,clever,valuable,neighbour,Bennet,children,intelligent	13,28,43,52,70,95,137	18,34,51,61,76,103,148							10	10	120	True	1	True	1	5/5	1.0000	Pride and Prejudice - pg1342_chunk399|Pride and Prejudice - pg1342_chunk1999|Pride and Prejudice - pg1342_chunk4721|Pride and Prejudice - pg1342_chunk4040|Pride and Prejudice - pg1342_chunk2315	Pride and Prejudice - pg1342_chunk399|Pride and Prejudice - pg1342_chunk1999|Pride and Prejudice - pg1342_chunk4721|Pride and Prejudice - pg1342_chunk4040|Pride and Prejudice - pg1342_chunk2315
20260215_113302	1	Pride and Prejudice - pg1342_chunk399	REMOVED	woman,clever,neighbour,several,children,eldest,sensible	woman,clever,neighbour,several,children,eldest,sensible	13,28,52,87,95,109,127	18,34,61,94,103,115,135							10	10	120	True	1	True	1	5/5	1.0000	Pride and Prejudice - pg1342_chunk399|Pride and Prejudice - pg1342_chunk4721|Pride and Prejudice - pg1342_chunk4040|Pride and Prejudice - pg1342_chunk999|Pride and Prejudice - pg1342_chunk1260	Pride and Prejudice - pg1342_chunk399|Pride and Prejudice - pg1342_chunk4721|Pride and Prejudice - pg1342_chunk4040|Pride and Prejudice - pg1342_chunk999|Pride and Prejudice - pg1342_chunk1260
20260215_113302	1	Pride and Prejudice - pg1342_chunk399	REMOVED	clever,neighbour,several,children,eldest,sensible,intelligent	clever,neighbour,several,children,eldest,sensible,intelligent	28,52,87,95,109,127,137	34,61,94,103,115,135,148							10	10	120	True	1	True	1	5/5	1.0000	Pride and Prejudice - pg1342_chunk399|Pride and Prejudice - pg1342_chunk4721|Pride and Prejudice - pg1342_chunk4040|Pride and Prejudice - pg1342_chunk327|Pride and Prejudice - pg1342_chunk999	Pride and Prejudice - pg1342_chunk399|Pride and Prejudice - pg1342_chunk4721|Pride and Prejudice - pg1342_chunk4040|Pride and Prejudice - pg1342_chunk327|Pride and Prejudice - pg1342_chunk999
20260215_113302	1	Pride and Prejudice - pg1342_chunk399	REMOVED	valuable,neighbour,bennet,children,eldest,sensible,intelligent	valuable,neighbour,Bennet,children,eldest,sensible,intelligent	43,52,70,95,109,127,137	51,61,76,103,115,135,148							10	10	120	True	1	True	1	5/5	1.0000	Pride and Prejudice - pg1342_chunk399|Pride and Prejudice - pg1342_chunk3161|Pride and Prejudice - pg1342_chunk1999|Pride and Prejudice - pg1342_chunk4721|Pride and Prejudice - pg1342_chunk157	Pride and Prejudice - pg1342_chunk399|Pride and Prejudice - pg1342_chunk3161|Pride and Prejudice - pg1342_chunk1999|Pride and Prejudice - pg1342_chunk4721|Pride and Prejudice - pg1342_chunk157
20260215_113302	2	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5073	ORIGINAL											10	10	120	True	1	True	1	5/5	1.0000	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5073|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3985|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk109|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1918|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk977	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5073|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3985|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk109|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1918|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk977
20260215_113302	2	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5073	REMOVED	government,implication,there,peace,general,bandholtz,suppressed	Government,implication,there,peace,General,Bandholtz,suppressed	16,49,74,91,111,119,134	26,60,79,96,118,128,144							10	10	120	True	1	True	1	5/5	1.0000	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5073|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk109|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1918|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1271|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk977	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5073|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk109|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1918|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1271|Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk977
