ts	chunk_id	reason	eligible_words	n_words_remove	requested_random_sets	max_unique_sets_possible
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk2868	eligible_words_lt_N_WORDS_REMOVE	6	7	10	
20260215_113302	Heart of Darkness by Joseph Conrad - pg219_chunk826	eligible_words_lt_N_WORDS_REMOVE	5	7	10	
20260215_113302	Frankenstein  The Modern Prometheus - pg84_chunk67	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Pride and Prejudice - pg1342_chunk1457	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	A Room with a View by E. M. Forster - pg2641_chunk1491	eligible_words_lt_N_WORDS_REMOVE	6	7	10	
20260215_113302	Common Sense by Thomas Paine - pg147_chunk431	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk4856	eligible_words_lt_N_WORDS_REMOVE	6	7	10	
20260215_113302	Frankenstein  The Modern Prometheus - pg84_chunk2042	eligible_words_lt_N_WORDS_REMOVE	5	7	10	
20260215_113302	A Room with a View by E. M. Forster - pg2641_chunk1224	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	Pride and Prejudice - pg1342_chunk1840	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk7093	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	Heart of Darkness by Joseph Conrad - pg219_chunk849	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk903	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk6126	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk7007	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	The King in Yellow by Robert W. Chambers  - pg8492_chunk2575	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Pride and Prejudice - pg1342_chunk2219	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Pride and Prejudice - pg1342_chunk1746	eligible_words_lt_N_WORDS_REMOVE	2	7	10	
20260215_113302	A Room with a View by E. M. Forster - pg2641_chunk799	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	Pride and Prejudice - pg1342_chunk189	eligible_words_lt_N_WORDS_REMOVE	6	7	10	
20260215_113302	Pride and Prejudice - pg1342_chunk3362	eligible_words_lt_N_WORDS_REMOVE	6	7	10	
20260215_113302	Pride and Prejudice - pg1342_chunk2457	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Heart of Darkness by Joseph Conrad - pg219_chunk482	eligible_words_lt_N_WORDS_REMOVE	5	7	10	
20260215_113302	Pride and Prejudice - pg1342_chunk4114	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk7160	eligible_words_lt_N_WORDS_REMOVE	6	7	10	
20260215_113302	The King in Yellow by Robert W. Chambers  - pg8492_chunk1166	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	Pride and Prejudice - pg1342_chunk4040	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3937	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	A Room with a View by E. M. Forster - pg2641_chunk2098	eligible_words_lt_N_WORDS_REMOVE	6	7	10	
20260215_113302	Frankenstein  The Modern Prometheus - pg84_chunk872	eligible_words_lt_N_WORDS_REMOVE	6	7	10	
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk7349	eligible_words_lt_N_WORDS_REMOVE	5	7	10	
20260215_113302	Pride and Prejudice - pg1342_chunk2598	eligible_words_lt_N_WORDS_REMOVE	6	7	10	
20260215_113302	Pride and Prejudice - pg1342_chunk547	eligible_words_lt_N_WORDS_REMOVE	4	7	10	
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk4733	eligible_words_lt_N_WORDS_REMOVE	6	7	10	
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk696	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	The King in Yellow by Robert W. Chambers  - pg8492_chunk2404	eligible_words_lt_N_WORDS_REMOVE	5	7	10	
20260215_113302	Pride and Prejudice - pg1342_chunk4470	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Common Sense by Thomas Paine - pg147_chunk530	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk621	eligible_words_lt_N_WORDS_REMOVE	6	7	10	
20260215_113302	A Room with a View by E. M. Forster - pg2641_chunk1970	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk6993	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk6631	eligible_words_lt_N_WORDS_REMOVE	6	7	10	
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1865	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	rag_test_doc_1_chunk79	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	Pride and Prejudice - pg1342_chunk3782	eligible_words_lt_N_WORDS_REMOVE	6	7	10	
20260215_113302	Pride and Prejudice - pg1342_chunk1364	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	The King in Yellow by Robert W. Chambers  - pg8492_chunk1234	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk7393	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk3432	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Pride and Prejudice - pg1342_chunk3940	eligible_words_lt_N_WORDS_REMOVE	6	7	10	
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk265	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	Frankenstein  The Modern Prometheus - pg84_chunk1299	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Common Sense by Thomas Paine - pg147_chunk679	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	The King in Yellow by Robert W. Chambers  - pg8492_chunk569	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk5027	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk1611	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	Heart of Darkness by Joseph Conrad - pg219_chunk392	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk7046	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	Pride and Prejudice - pg1342_chunk5141	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	The King in Yellow by Robert W. Chambers  - pg8492_chunk1232	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Pride and Prejudice - pg1342_chunk2429	comb_space_lt_N_RANDOM_SETS	8	7	10	8
20260215_113302	Philippines Past and Present Volume 1 of 2  Worcester  - pg12077_chunk592	comb_space_lt_N_RANDOM_SETS	7	7	10	1
20260215_113302	Pride and Prejudice - pg1342_chunk429	eligible_words_lt_N_WORDS_REMOVE	5	7	10	
20260215_113302	A Room with a View by E. M. Forster - pg2641_chunk579	eligible_words_lt_N_WORDS_REMOVE	5	7	10	
